ID,LABEL,Parent,definition,PMID,has microbe depleted in diseased host,has microbe expanded in diseased host,term editor,microbe label,Rank,Localization,No.
OHMI:0000922,expansion of Eggerthellaceae in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Eggerthellaceae up-regulated in gut of adolescent MDD patient compared to healthy human,PMID:40390033,,http://purl.obolibrary.org/obo/NCBITaxon_1643826,Haihe Wang|Jie Zheng|Yongqun He,Eggerthellaceae,family,Gut,245
OHMI:0000923,expansion of Bacteroidetes in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Bacteroidetes up-regulated in gut of adolescent MDD patient compared to healthy human,PMID:33421868,,http://purl.obolibrary.org/obo/NCBITaxon_976,Haihe Wang|Jie Zheng|Yongqun He,Bacteroidetes,Phylum,Gut,246
OHMI:0000924,depletion of Bifidobacterium animalis in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Bifidobacterium animalis down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:40390033,http://purl.obolibrary.org/obo/NCBITaxon_28025,,Haihe Wang|Jie Zheng|Yongqun He,Bifidobacterium animalis ,species,Gut,247
OHMI:0000925,depletion of Haemophilus in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Haemophilus down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:41339503,http://purl.obolibrary.org/obo/NCBITaxon_724,,Haihe Wang|Jie Zheng|Yongqun He,Haemophilus,genus ,Gut,248
OHMI:0000926,depletion of Dialister in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Dialister down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:41339503,http://purl.obolibrary.org/obo/NCBITaxon_39948,,Haihe Wang|Jie Zheng|Yongqun He,Dialister,genus ,Gut,249
OHMI:0000927,depletion of Solobacterium in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Solobacterium down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:41339503,http://purl.obolibrary.org/obo/NCBITaxon_123375,,Haihe Wang|Jie Zheng|Yongqun He,Solobacterium,genus ,Gut,250
OHMI:0000928,depletion of Faecalibacterium in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Faecalibacterium down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:40390033,http://purl.obolibrary.org/obo/NCBITaxon_216851,,Haihe Wang|Jie Zheng|Yongqun He,Faecalibacterium,genus ,Gut,251
OHMI:0000929,depletion of Collinsella in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Collinsella down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:41339503,http://purl.obolibrary.org/obo/NCBITaxon_102106,,Haihe Wang|Jie Zheng|Yongqun He,Collinsella,genus,Gut,252
OHMI:0000930,depletion of Hungatella in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Hungatella down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:41339503,http://purl.obolibrary.org/obo/NCBITaxon_1649459,,Haihe Wang|Jie Zheng|Yongqun He,Hungatella,genus,Gut,253
OHMI:0000931,depletion of Agathobaculum in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Agathobaculum down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:41339503,http://purl.obolibrary.org/obo/NCBITaxon_2048137,,Haihe Wang|Jie Zheng|Yongqun He,Agathobaculum,genus,Gut,254
OHMI:0000932,depletion of Firmicutes in gut of adolescent MDD patient compared to healthy human,bacterial change in gut of adolescent MDD patient compared to healthy human,Firmicutes down-regulated in gut of adolescent MDD patient compared to healthy human,PMID:33421868,http://purl.obolibrary.org/obo/NCBITaxon_1239,,Haihe Wang|Jie Zheng|Yongqun He,Firmicutes,Phylum,Gut,255
